gene,log2FC,t,pval,FDR,cohen_d
RNU6-936P,-0.023655931969824406,-0.21201058400093625,0.8327456016667895,,-0.039600356230826195
WBP1LP2,0.32685807522762084,5.615524197189439,9.84098882834337e-08,,0.7412127845199359
CENPO,0.5886405923999889,4.28698408556905,6.974028116292432e-05,,0.8767952814752258
BANF1P5,0.1556191371745235,4.407770654161527,2.4063325045865935e-05,,0.48145891159748955
SLC26A4,0.40164327461508287,2.6979447448017813,0.008689046567666371,,0.4839635780151835
BICRAL,-0.3725390618439275,-4.380923551137593,4.704830887153138e-05,,-0.8606202830939144
TLK2,-0.25199699924023644,-2.9591276882418454,0.004238719639089592,,-0.5457959663980557
PTPRB,-0.3907985555097655,-2.347450413913971,0.022130044227958594,,-0.4595166306367206
MIR4457,-0.058048202372184055,-1.0,0.3234749451713834,,-0.3111187422751509
H2AC13,1.5425561623414783,5.370595818713023,1.2056179188686998e-06,,1.0366313818718527
H2BC8,0.5148564618190994,3.225261788438332,0.0017725674537053847,,0.5280015412089152
H2BC13,1.405930457824887,5.24557675049211,2.1094097800344272e-06,,1.039917014011503
H2BC15,0.9021920478180263,4.812167472792375,1.1300263899299969e-05,,0.9898449099224329
H2BC7,0.6479926026227343,3.358407357002313,0.0012880875972060553,,0.6206619782302156
H2BC9,2.467352755861979,7.3724359698938375,1.0107627521758367e-09,,1.5788139819789777
DCUN1D3,0.06301742500898166,0.6963421314018079,0.48847607966340323,,0.12533980669803207
H2BC4,0.4750829659263678,3.763391885334095,0.00036289412073765745,,0.7139991937262254
DNAJC27,-0.23056962081294863,-2.076345437753572,0.04183377910249454,,-0.3942713082804205
CBLL1,0.10545862997585953,1.3200584901727603,0.19188038916784678,,0.26457752079447894
H3C8,2.9354327072420086,7.832258557452428,8.40969306251643e-11,,1.5402700920158139
H4C2,0.19175506522240404,1.244737707946421,0.21744864856439547,,0.22839292963997973
H4C5,0.13695114808537312,1.0982489535908506,0.2755717583204481,,0.19175237190888758
TAAR5,-0.0005755530909632225,-0.013915549043798568,0.9889354270621447,,-0.0024795134060226764
H2BC5,0.6645978187119796,4.19215475037651,8.966419126560699e-05,,0.8195950530980811
LYRM1,-0.47061809029379686,-4.167031481582318,0.0001116371902767618,,-0.8910178154885674
MYCT1,0.08690065818169246,0.8766700099115351,0.38366908840873337,,0.1595546003469773
HUS1B,-0.0236349723448136,-0.28513694423519037,0.7764236361037503,,-0.05327572991967202
TREML1,0.3006549770950686,1.5868828469237983,0.1180701563874449,,0.32705951432286334
KANK3,-0.2009609485437216,-1.2661911202414526,0.21109672534304666,,-0.28031908788668575
PLEKHO2,0.1627107517718951,1.0785932044983408,0.28581269493629435,,0.2411153254223674
COL7A1,0.18299700118868412,0.9906205296358537,0.325439595293052,,0.18465036178929214
LMF1-AS1,-0.0623820945003698,-0.5988819797512185,0.5515420805170681,,-0.12049378700714578
CEROX1,-0.5926814809690448,-1.3902026372588179,0.17070525487616336,,-0.3216532539331531
RPS13P5,-0.08995741704592847,-0.9103287403289839,0.3660377148947572,,-0.17328445295104833
RN7SL856P,0.05619469026548672,1.2364897903694394,0.2192939145196013,,0.19433751566395002
USP49,-0.526216948509711,-3.050407051420505,0.0034433150107050247,,-0.621547489856872
SUCLA2P3,0.0497787610619469,0.5500083759205397,0.5840826281232954,,0.10058103688214788
SLC26A3,0.1472654778932051,1.2977914803633477,0.1975554338909372,,0.20630287633045813
ADCY3,0.3540442480669146,3.600007905448739,0.0006210089874515133,,0.6883554117997681
SOX8,-0.5238022778975227,-1.3080526348798682,0.19683853827819214,,-0.2991702520439531
ANKDD1A,-0.043953234489481297,-0.3021435394544665,0.7636695921886115,,-0.06339117397582654
ZNF165,-0.07743472340232782,-0.713167841899607,0.47866998058066235,,-0.14767245760028302
TMA16P1,0.008849557522123894,1.0,0.31946613116109157,,0.10922957417099886
GLYATL2,-0.5024776663124076,-3.091908638495378,0.0030280366816550267,,-0.6199438522746986
ZNF814,0.43516899895491523,4.6969048290144535,9.981312192415413e-06,,0.7752470214426878
CCDC17,-0.17816768526504978,-1.05411734899491,0.29730300245670266,,-0.2599357929886557
CUL7,0.481074946780093,3.893716534895782,0.00027582134978315355,,0.8409117720237445
MIR612,1.0328631753088677,3.638385305630842,0.0006477816617858535,,0.829878830262153
LINC02736,0.0,,,,
SNRPGP19,-0.08345166485906666,-1.0302595203108944,0.3079106880498494,,-0.23837765492781818
ZNRD2,0.01296998951731343,0.13003869306622765,0.8970026840340137,,0.027185371323978615
PDLIM3,0.8268891300643588,3.6420591298041525,0.0006099103594213242,,0.7851786338649943
PRMT7,-0.042724978287662196,-0.3985260862004592,0.6917102548679488,,-0.08133571783553377
CLEC11A,0.21461658200600464,1.6377025712563236,0.10603963921927505,,0.3002456161099634
FAM89B,0.051247671005627105,0.3695989273837546,0.7131734178619558,,0.0813173369369351
SPTBN4,0.000862604989982696,0.004279374189307122,0.9965988689459941,,0.0008182631472784872
ADGRF4,-0.05,-1.4327007988227582,0.15991096003143124,,-0.4457400705863407
GOLGA8K,-0.43789596763224825,-3.8067419315715383,0.0003139410287363385,,-0.7208398716365275
SH2B2,0.5140865366848488,3.414586409138505,0.0010830596499973517,,0.6321743706000689
EHBP1L1,0.24231180688390452,1.7402516103834815,0.08654827909443823,,0.3298545001038126
GPBP1L1,0.02977804233777981,0.3434776951798999,0.7325521077485613,,0.07280793676046271
POLD2,0.21247841161315328,1.9675547896192522,0.05398881198439774,,0.4054046992144124
ZSCAN16,0.10605352926751266,0.947206737245377,0.34709737494553594,,0.1812001466732224
WDR33,-0.10373035905106054,-1.6350575847901114,0.10549952902365999,,-0.2630211985620203
ZKSCAN8P1,-0.06880530973451326,-1.0201050757554442,0.31192624331531155,,-0.2081419989556351
ZNF603P,-0.016150442477876108,-0.6089891957087118,0.5453381410033722,,-0.14153522064402643
